question,answer
"수업 중 흡연, 편의점 방문은 가능할까요?","절대 불가합니다. 수업 시간에 외부에 나가 자리를 비우는 것은 부정 훈련에 해당됩니다. 쉬는 시간에 해결하셔야 하며, 혹시라도 해당 행위가 확인 되면 경우에 따라 제적처리 될 수 있습니다. 수업 중 외부 활동은 훈련 비용 지급과 연관이 되어 있어 금지합니다. 고용노동부 불시 점검 시 개인에게는 제적, 훈련 지원금 반환, 훈련 기관 정지로 과정 진행에 대한 어려움이 발생할 수 있다는 점. 책임감을 가지고 이행 해주세요. 수업 시간은 (매 시간 정시 ~ 50분 까지) 50분 단위입니다. 50분 수업 후 10분 휴식 시 외부 활동 해주세요."
"수업 중 외출, 병원 방문이 필요할 땐 어떻게 해야 할까요?","강사, 매니저에게 외출 일정을 꼭 공유 및 출석입력요청대장에 작성 후 HRD-NET 출결 어플로 외출을 누르고, 다녀온 후 복귀 및 복귀시간 작성을 해주세요. 외출 시 어플로 신청을 못한 경우 부정 출석이므로 다녀와서 꼭 외출대장을 작성해주셔야합니다. 병원 방문은 병가 신청이 가능합니다.(병명 코드가 들어간 진료확인서 제출)"
하루에 지각하고 조퇴를 중복되게 했어요. 어떻게 처리되나요?,"모든 지각,조퇴,외출 등은 누적 횟수가 적용됩니다. ex) 오전에 지각하고 오후에 조퇴를 한다면 총 2회 입니다. 출결기준 출석 : 정규수업시간(8시간)의 100%를 수강한 경우 결석 : 정규수업시간(8시간)의 50%(4시간) 미만을 수강한 경우 지각/조퇴/외출 : 정규수업시간(8시간)의 50% 이상 100% 미만을 수강한 경우 단위기간(1개월) 내 지각/조퇴/외출 3회는 1일 결석으로 처리 단위기간(1개월) 내 출석이 50% 미만일 경우 제적 전체기간(6개월/120일) 내 출석이 80% 미만일 경우 제적"
국민 취업 지원 제도 상담 출석 인정이 가능할까요?,"국민 취업 지원 제도 상담은 출석 인정이 불가능합니다. 따라서 외출 처리, 휴가 사용을 하여 다녀와야합니다. 국민 취업 지원 제도는 다양한 기관에서 운영하고 있으며 훈련생 편의를 위하여 18:00 이 후 상담해주는 기관도 있습니다."
훈련 장려금 미지급 대상은 어떤 경우일까요?,"훈련에 참여하는 기간과 구직급여(실업급여)를 지급받는 기간이 중복되는 경우 훈련에 참여하는 기간과 휴업급여를 지급받는 기간이 중복되는 경우 훈련에 참여하는 기간과 중앙부처 또는 지자체 등으로 부터 명칭에 상관없이 구직활동 지원 목적의 수당을 지원받는 기간이 중복되는 경우 훈련에 참여하는 기간과 공공근로사업 또는 정부재정지원일자리사업에 참여하는 기간이 중복되는 경우 취업하여 아래 각 호에 어느 하나 해당하는 경우 1개월간의 소정근로시간을 60시간 이상(1주간 15시간 이상)으로 근로제공하는 경우 (고용보험 적용제외 사업장에 취업한 경우도 포함) 일용근로자로서 1개월 동안 10일 이상 근로를 제공하는 경우 사업자등록을 새로 하였거나 사업자 등록사항을 변경하는 등 사업이 새로 개시되었음이 증명된 경우"
국민 취업 지원 제도 비용과 훈련 장려금 동시 수급 가능한가요?,"KDT 훈련과 국민 취업 지원 제도는 중복 수급 가능합니다. (국취제 단위기간은 각 과정 단위기간과 상이할 수 있습니다.) 1유형 국민 취업 지원 제도 + 훈련장려금(내일배움카드) 월 500,000원(최대) X 6개월(국취제 1유형) + 월 316,000원(최대) X 6개월(훈련장려금) *개인 소득에 따라 변경 될 수 있습니다.(24.2.9 법 개정 이후) 조건 : 단위기간 출석률 80%이상 2유형 국민 취업 지원 제도 + 훈련장려금(내일배움카드) 월 284,000원(최대) X 6개월(국취제 2유형) + 월 316,000원(최대) X 6개월(훈련장려금) *단위기간 별 출석률에 따라 최대 금액은 변경 될 수 있습니다. 조건 : 단위기간 출석률 80% : 훈련일수당 18,000원 * 16일(최대 출석 인정 일자)"
부트캠프 일정은 어떻게 되나요?, 1. 교육 기간: 2025년 1월 ~ 2025년 6월(총 6개월) 2. 교육 시간: 평일 오전 9시 ~ 오후 6시(8시간) 3. 교육 장소: SK네트웍스 역삼 캠퍼스.
과제는 어떻게 제출하나요?, 1. 제출 플랫폼: GitHub 개인 레포지토리 활용 2. 제출 방법: 각 과제별 지정된 폴더에 코드 업로드 3. 제출 기한: 매주 금요일 오후 6시까지.
팀 프로젝트는 어떻게 진행되나요?," 1. 팀 구성: 4~5인 1조로 구성 2. 프로젝트 단계: 1차 미니 프로젝트(3월), 2차 미니 프로젝트(4월), 최종 프로젝트(5~6월) 3. 협업 방식: Notion과 GitHub 활용."
사용 가능한 병가 개수는 어떻게 되나요?, 1. 병가 발생: 한 단위기간 내에 10%(2일) 사용 가능 2. 누적 방식: 미사용 시 다음 단위기간으로 누적됨 3. 총 병가: 6개월 과정 동안 12개 발생 및 사용 가능.
수업 중 외출이 필요하면 어떻게 해야 하나요?,"강사, 매니저에게 외출 일정을 꼭 공유 및 출석입력요청대장에 작성 후 HRD-NET 출결 어플로 외출을 누르고, 다녀온 후 복귀 및 복귀시간 작성을 해주세요."
실습이 너무 어려워요. 어떻게 적응해야 하나요?,"실습은 시험이 아니라 실패 허용 구간입니다. 틀리고 구글링하고 고치면서 배우는 게 핵심이에요. 실행 방법: 1. 실습 시간엔 처음부터 정답 찾으려 하지 말고, 빈칸부터 채워보기 2. 막히는 포인트는 주석으로 표시하고 저장 3. 수업 끝난 뒤엔 GitHub에 코드를 올리고, 주석으로 정리."
복습을 잘 못 하겠어요. 어떻게 해야 하나요?,복습은 전체 반복이 아니라 오늘 막혔던 1~2개만 복습하는 구조로 접근해야 유지됩니다. 실행 방법: 1. 수업이 끝난 직후 → 오늘 막혔던 코드 복사해서 Notion에 붙여놓기 2. 저녁에 그 코드 다시 실행해보기 + 한 줄씩 설명 주석 달기 3. 블로그 회고에 오늘 이해한 것 설명하기.
구글링으로 혼자 해결하는 게 어렵습니다.,"검색은 기술입니다. 문장 쓰듯 찾지 말고, 키워드 단위로 쪼개세요. 실행 방법: 1. 검색할 땐 파이썬 + 문제 핵심 키워드 조합으로 검색 2. Stack Overflow 찾을 땐 에러 메시지 전체 복붙 → 첫 5개 답변만 정독 3. 찾은 코드 중 마음에 드는 것 1개를 직접 타이핑하며 실행 + 주석 추가."
멘탈이 자꾸 무너집니다. 지치는 걸 어떻게 극복하죠?,"중요한 건 멘탈을 올리는 기술보다 무너지지 않게 받쳐주는 습관입니다. 실행 방법: 1. 하루 마무리에 오늘 이건 해냈다를 다이어리에 1문장 기록 2. 매주 금요일, 그 기록을 5분간 읽어보며 스스로의 흐름 확인 3. 누군가의 회고글에 댓글 1개 달기 → 공감 공유가 멘탈에 큰 버팀목이 됨."
