question,answer
훈련과정명이 뭐야?,SK네트웍스 Family AI 캠프
교육일정이 어떻게 돼?,2025년 1월 7일 – 2025년 7월 3일 (120일)
수강철회 기간은 언제까지야?,개강일부터 7일간 (1월 13일(월)까지 철회 가능)
우리 교육시간은 어떻게 돼?,주중 09:00 ~ 18:00 (1일 8시간 / 총 960시간)
교육방식은 온라인이야 오프라인이야?,오프라인 교육(긴급 상황 시 온/오프라인 병행될 수 있음)
정기상담은 언제 받아?,"1차 정기상담은 개강 1주차, 2차 정기상담은 개강 2개월차, 3차 정기상담은 개강 4개월차에 합니다.
"
캠퍼스 총괄,"공영진 팀장
"
인포 담당,"변수현 매니저, 이진희 매니저
"
과정 담당,권현주 매니저
교육 강사님의 성함은 뭐야?,조경원 강사님
교육강사님을 소개해줘,"조경원 강사님
· 국민대학교 대학원 / AI 빅데이터 MBA 전공 
· 총 경력 13년엔코아 소속 강사 (현재)
ㄴ 교원 / Expert Talent (기술 팀장) 
ㄴ 아이스크림에듀 / 과장 – 딥러닝 모델 분석 개발 프로젝트
ㄴ 이지소프트랩 / 과장 – 금융권 시스템 프로젝트 
ㄴ 등등
· SK네트웍스 Family AI 캠프 3기 완주 성공!
ㄴ 1차 만족도 : 4.7점 (5점 만점)
ㄴ 2차 만족도 : 4.9점 (5점 만점)
"
"교육과정의 큰 틀이나 구조를 알려줘
","교육 커리큘럼은 5개의 교과목, 5번의 평가, 5개의 단위 프로젝트로 진행됩니다.
"
교육과정 커리큘럼에 대해 세세하게 알려줘. 우리는 뭘 배우는 거야?,"프로그래밍과 
데이터 기초
데이터 분석과 
머신러닝/딥러닝
LLM
(초거대언어모델)
  AI활용 
애플리케이션 개발
Python
Database(SQL)
Web Crawling
최종 프로젝트
112시간
(14일)
데이터 분석
머신러닝
딥러닝
모델 검증 및 평가
자연어 데이터 준비
자연어 딥러닝
자연어-이미지 멀티모달
LLM
파인튜닝
프롬프트 엔지니어링
184시간
(23일)
SW공학
리눅스
화면구현
Django Framework
클라우드
232시간
(29일)
128시간
(16일)
프로그래밍과 데이터 기초
데이터분석과 
머신러닝/딥러닝
LLM(초거대언어모델)
AI활용 애플리케이션 개발
304시간
(38일)"
커리큘럼 및 일정에 대한 링크나 시간표를 알려줘,https://docs.google.com/spreadsheets/d/1dzNSN_eb0c7hcRd2VqM5ATb_Z7k5BBU5/edit?usp=sharing&ouid=114605572861241972109&rtpof=true&sd=true
교과목 프로젝트 주제는 뭐야?,"1번째. 전국 자동차 등록 현황 및 기업 FAQ 조회 시스템
2.번째 가입 고객 이탈 예측
3 번째. LLM 연동한 내외부 문서 기반 질의 응답 시스템
4번째. LLM 연동한 내외부 문서 기반 질의 응답 웹페이지 개발
"
최종프로젝트 주제는 뭐야?,"1. LLM 활용 내부 고객 업무 효율성 향상을 위한 문서검색 시스템
2. LLM 활용 대화형 상품 추천 시스템
3. 자체 sLLM 개발 통한 기업 업무 활용 
4. LLM 활용 인공지능 인플루언서 만들기
5. LLM 활용 AI 모의면접 시스템
6. LLM 활용 고객 상담 챗봇
"
프로젝트 및 취업 역량 강화를 위한 현직자 특강에 대해 알려줘,"주제
내용
시간
LLM　
산업동향
 ㆍLLM 국내외 산업동향
ㆍLLM의 멀티모달화
ㆍLLM 산업의 미래
２
프로젝트　
기획실무
ㆍAI 비즈니스 동향 및 기술 이해
ㆍ프로젝트 기획 방법 이해
ㆍ프로젝트 기획을 위한 아이데이션
ㆍ프로젝트 기획 실습
８
AI 
엔지니어의　
이야기
ㆍLLM 활용 인공지능 서비스 현업 사례
ㆍLLM 활용 비즈니스 현황
ㆍLLM 활용 프로젝트 사례
ㆍAI 엔지니어 취업 전략
８

"
