question,answer
훈련과정명,SK네트웍스 Family AI 캠프
교육일정,2025년 1월 7일 – 2025년 7월 3일 (120일)
수강철회 기간,개강일부터 7일간 (1월 13일(월)까지 철회 가능)
교육시간,주중 09:00 ~ 18:00 (1일 8시간 / 총 960시간)
교육방식,오프라인 교육(긴급 상황 시 온/오프라인 병행될 수 있음)
1차 정기상담,"개강 1주차
"
2차 정기상담,개강 2개월 차
3차 정기상담,개강 4개월 차
캠퍼스 총괄,"공영진 팀장
"
인포 담당,"변수현 매니저, 이진희 매니저
"
과정 담당,권현주 매니저
교육 강사,조경원 강사
교육강사소개,"조경원 강사
· 국민대학교 대학원 / AI 빅데이터 MBA 전공 
· 총 경력 13년엔코아 소속 강사 (현재)
ㄴ 교원 / Expert Talent (기술 팀장) 
ㄴ 아이스크림에듀 / 과장 – 딥러닝 모델 분석 개발 프로젝트
ㄴ 이지소프트랩 / 과장 – 금융권 시스템 프로젝트 
ㄴ 등등
· SK네트웍스 Family AI 캠프 3기 완주 성공!
ㄴ 1차 만족도 : 4.7점 (5점 만점)
ㄴ 2차 만족도 : 4.9점 (5점 만점)
"
"교육과정 
","교육 커리큘럼은 5개의 교과목, 5번의 평가, 5개의 프로젝트로 진행됩니다.
"
교육과정 커리큘럼,"프로그래밍과 
데이터 기초
데이터 분석과 
머신러닝/딥러닝
LLM
(초거대언어모델)
  AI활용 
애플리케이션 개발
Python
Database(SQL)
Web Crawling
최종 프로젝트
112시간
(14일)
데이터 분석
머신러닝
딥러닝
모델 검증 및 평가
자연어 데이터 준비
자연어 딥러닝
자연어-이미지 멀티모달
LLM
파인튜닝
프롬프트 엔지니어링
184시간
(23일)
SW공학
리눅스
화면구현
Django Framework
클라우드
232시간
(29일)
128시간
(16일)
프로그래밍과 데이터 기초
데이터분석과 
머신러닝/딥러닝
LLM(초거대언어모델)
AI활용 애플리케이션 개발
304시간
(38일)"
커리큘럼 및 일정,https://docs.google.com/spreadsheets/d/1dzNSN_eb0c7hcRd2VqM5ATb_Z7k5BBU5/edit?usp=sharing&ouid=114605572861241972109&rtpof=true&sd=true
교과목 프로젝트,"1번째. 전국 자동차 등록 현황 및 기업 FAQ 조회 시스템
2.번째 가입 고객 이탈 예측
3 번째. LLM 연동한 내외부 문서 기반 질의 응답 시스템
4번째. LLM 연동한 내외부 문서 기반 질의 응답 웹페이지 개발
"
최종프로젝트 주제,"1. LLM 활용 내부 고객 업무 효율성 향상을 위한 문서검색 시스템
2. LLM 활용 대화형 상품 추천 시스템
3. 자체 sLLM 개발 통한 기업 업무 활용 
4. LLM 활용 인공지능 인플루언서 만들기
5. LLM 활용 AI 모의면접 시스템
6. LLM 활용 고객 상담 챗봇
"
프로젝트 및 취업 역량 강화를 위한 현직자 특강을 진행합니다,"주제
내용
시간
LLM　
산업동향
 ㆍLLM 국내외 산업동향
ㆍLLM의 멀티모달화
ㆍLLM 산업의 미래
２
프로젝트　
기획실무
ㆍAI 비즈니스 동향 및 기술 이해
ㆍ프로젝트 기획 방법 이해
ㆍ프로젝트 기획을 위한 아이데이션
ㆍ프로젝트 기획 실습
８
AI 
엔지니어의　
이야기
ㆍLLM 활용 인공지능 서비스 현업 사례
ㆍLLM 활용 비즈니스 현황
ㆍLLM 활용 프로젝트 사례
ㆍAI 엔지니어 취업 전략
８

"
출결 처리 방법,"비콘(Beacon) 인식을 통한
출결체크
*비콘 인식 안 될 경우, 즉시 담당 매니저 & 인포 매니저님께
방문 후 QR코드 확인 요청*
HRD-NET 출석 어플 사전 설치
비콘 인식
기기등록이 안 되어 있을 시, 출석 불가능 (기기는 1대만 가능)
"
출결 처리 방법,"출결 기준
1일 출석 시간이 4시간 미만인 경우 결석 처리
· 지각 : 13시 59분까지 입실 처리 후 18시 퇴실 처리 시 지각으로 인정
              (14시 01분 입실 시 결석)
· 조퇴 : 9시 ~ 13시까지 수강 후 퇴실 처리 시 조퇴로 인정
              (12시 59분 퇴실 시 결석)
지각·조퇴·외출 3회 시, 결석 1회로 처리
(하루에 지각, 조퇴 시 2회 누적)
· 지각 3회 → 결석 1회
· 지각 2회, 조퇴 1회 → 결석 1회
· 조퇴 2회, 외출 1회 → 결석 1회
지각·조퇴·외출·결석 시 매니저에게 사전 공유
· 미리 고지하지 않았을 경우에 발생하는 모든 출결 문제는
   훈련생 본인의 책임입니다."

